SAP,BFM,DESCRIPTION,TOOL ID,LOCATION,PRIORITY,PM QTY,REVIEWED,Time of Completion
96007128,20243132,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG42,LCS001 LOWER,3,1,,
96007119,20243123,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG33,LCS001 LOWER,3,1,,
96007120,20243124,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG34,LCS001 LOWER,3,1,,
96007132,20243136,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG46,LCS001 LOWER,3,1,,
96007129,20243133,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG43,LCS001 LOWER,3,1,,
96007130,20243134,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG44,LCS001 LOWER,3,1,,
96007131,20243135,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG45,LCS001 LOWER,3,1,,
96007172,20243176,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG06,LCS001 LOWER,3,1,,
96007171,20243175,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG05,LCS001 LOWER,3,1,,
96007211,20243215,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG45,LCS001 LOWER,3,1,,
96007212,20243216,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG46,LCS001 LOWER,3,1,,
96007210,20243214,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG44,LCS001 LOWER,3,1,,
96007208,20243212,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG42,LCS001 LOWER,3,1,,
96007203,20243207,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG37,LCS001 LOWER,3,1,,
96007204,20243208,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG38,LCS001 LOWER,3,1,,
96007209,20243213,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG43,LCS001 LOWER,3,1,,
96007199,20243203,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG33,LCS001 LOWER,3,1,,
96007205,20243209,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG39,LCS001 LOWER,3,1,,
96007200,20243204,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG34,LCS001 LOWER,3,1,,
96007201,20243205,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG35,LCS001 LOWER,3,1,,
96007206,20243210,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG40,LCS001 LOWER,3,1,,
96007207,20243211,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG41,LCS001 LOWER,3,1,,
96007202,20243206,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG36,LCS001 LOWER,3,1,,
96007198,20243202,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG32,LCS001 LOWER,3,1,,
96008328,20253396,"DETECTOR, PARTICLE / BP6NN021",IPD22322130,LCS003,3,1,,
96008328,20253309,"DETECTOR, PARTICLE / BP6NN021",IPD22322130,LCS003,3,1,,
96006680,20231859,TRONAIR DIESEL GPU,11-4290-0000 (Reference),LCS070,3,3,YES,
96008262,20250706,TLD DIESEL GPU,GPU-409-E-CUP-28,FLIGHTLINE,3,3,YES,
95163588,20299286,ACU,ACU-302S-CUP,FLIGHTLINE,3,3,YES,3/7/2025
95163588,20299287,ACU,ACU-302S-CUP,FLIGHTLINE,3,3,YES,3/7/2025
95163588,20299288,ACU,ACU-302S-CUP,FLIGHTLINE,3,3,YES,3/7/2025
95163588,20299289,ACU,ACU-302S-CUP,FLIGHTLINE,3,3,YES,3/7/2025
95163588,20299286,ACU,ACU-302S-CUP,FLIGHTLINE,3,3,YES,3/7/2025
95163588,20299287,ACU,ACU-302S-CUP,FLIGHTLINE,3,3,YES,3/7/2025
95163588,20299288,ACU,ACU-302S-CUP,FLIGHTLINE,3,3,YES,3/7/2025
95163588,20299289,ACU,ACU-302S-CUP,FLIGHTLINE,3,3,YES,3/7/2025
96011058,20313175,FLOOR PANEL DRILL JIG,C01392700,LCS001,3,1,,
96011059,20313176,FLOOR PANEL DRILL JIG,C01392700,LCS001,3,1,,
96011060,20313177,FLOOR PANEL DRILL JIG,C01392700,LCS001,3,1,,
96011061,20313178,FLOOR PANEL DRILL JIG,C01392700,LCS001,3,1,,
96011062,20313179,FLOOR PANEL DRILL JIG,C01392700,LCS001,3,1,,
96011063,20313180,FLOOR PANEL DRILL JIG,C01392700,LCS001,3,1,,
96007796,20246144,A/C WOW JACKING SYST,S500-100011-SFIX02,BAY 6,3,2,YES,2/26/2025
96007796,20246188,A/C WOW JACKING SYST,S500-100011-SFIX02,BAY 6,3,2,YES,2/26/2025
96007796,20246144,A/C WOW JACKING SYST,S500-100011-SFIX02,LCS030/040,3,2,YES,2/26/2025
96007796,20246188,A/C WOW JACKING SYST ,S500-100011-SFIX02,LCS010/020,3,2,YES,2/26/2025
96008262,20250706,TLD DIESEL GPU,GPU-409-E-CUP-28,FLIGHTLINE,3,3,YES,
96008262,20250706,TLD DIESEL GPU,GPU-409-E-CUP-28,FLIGHTLINE,3,3,YES,
