SAP,BFM,DESCRIPTION,TOOL ID,LOCATION,PRIORITY,PM QTY,REVIEWED,Time of Completion
96007418,20245947,HYDRO AXLE JACK 45 TONS  (US PROCURED),RT4550-001 PM1,LCS070,3,1,YES,
96007479,20245960,DRILL BUSHING KIT WING,GT9910876-GTOO02,LCS002,3,1,,
96007465,20327585,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327586,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327587,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327588,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327589,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327590,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327591,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327592,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327593,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327594,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327600,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327601,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327602,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327603,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007465,20327604,SWIVEL TENSION FITTING DRILL JIG,GT9910461-GTOO01,US-LCS002-MEC,3,1,,
96007796,20246100,A/C WOW JACKING SYST ,S500-100011-SFIX02,LCS030/040,3,2,YES,2/26/2025
96007796,20284434,A/C WOW JACKING SYST ,S500-100011-SFIX02,LCS010/020,3,2,YES,2/26/2025
96007796,20246144,A/C WOW JACKING SYST ,S500-100011-SFIX02,LCS010/020,3,2,YES,2/26/2025
96007796,20246188,A/C WOW JACKING SYST ,S500-100011-SFIX02,LCS010/020,3,2,YES,2/26/2025
96007796,20284434,A/C WOW JACKING SYST ,S500-100011-SFIX02,LCS003,3,2,YES,2/26/2025
96007796,20284434,A/C WOW JACKING SYST ,S500-100011-SFIX02,LCS003,3,2,YES,2/26/2025
96007796,20246188,A/C WOW JACKING SYST ,S500-100011-SFIX02,LCS003,3,2,YES,2/26/2025
96007796,20246144,A/C WOW JACKING SYST ,S500-100011-SFIX02,BAY 6,3,2,YES,2/26/2025
96007796,20246100,A/C WOW JACKING SYST,S500-100011-SFIX02,LCS030/040,3,2,YES,2/26/2025
96007796,20284434,A/C WOW JACKING SYST,S500-100011-SFIX02,LCS010/020,3,2,YES,2/26/2025
96007796,20246144,A/C WOW JACKING SYST,S500-100011-SFIX02,BAY 6,3,2,YES,2/26/2025
96007796,20246188,A/C WOW JACKING SYST,S500-100011-SFIX02,BAY 6,3,2,YES,2/26/2025
96007796,20284434,A/C WOW JACKING SYST,S500-100011-SFIX02,LCS003,3,2,YES,2/26/2025
96007796,20284434,A/C WOW JACKING SYST,S500-100011-SFIX02,LCS003,3,2,YES,2/26/2025
96007796,20246188,A/C WOW JACKING SYST,S500-100011-SFIX02,LCS003,3,2,YES,2/26/2025
96007796,20246144,A/C WOW JACKING SYST,S500-100011-SFIX02,BAY 6,3,2,YES,2/26/2025
96007170,20243174,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG04,LCS001 TOP,3,1,,
96007169,20243173,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG03,LCS001 TOP,3,1,,
96007168,20243172,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG02,LCS001 TOP,3,1,,
96007167,20243171,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG01,LCS001 TOP,3,1,,
96007089,20243093,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG03,LCS001 TOP,3,1,,
96007090,20243094,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG04,LCS001 TOP,3,1,,
96007188,20243192,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG22,LCS001 TOP,3,1,,
96007189,20243193,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG23,LCS001 TOP,3,1,,
96007190,20243194,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG24,LCS001 TOP,3,1,,
96007191,20243195,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG25,LCS001 TOP,3,1,,
96007192,20243196,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG26,LCS001 TOP,3,1,,
96007193,20243197,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG27,LCS001 TOP,3,1,,
96007194,20243198,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG28,LCS001 TOP,3,1,,
96007195,20243199,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG29,LCS001 TOP,3,1,,
96007197,202431201,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG31,LCS001 TOP,3,1,,
96007196,202431200,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG30,LCS001 TOP,3,1,,
96007184,20243188,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG18,LCS001 TOP,3,1,,
96007185,20243189,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG19,LCS001 TOP,3,1,,
96007183,20243187,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG17,LCS001 TOP,3,1,,
96007182,20243186,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG16,LCS001 TOP,3,1,,
96007180,20243184,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG14,LCS001 TOP,3,1,,
96007181,20243185,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG15,LCS001 TOP,3,1,,
96007179,20243183,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG13,LCS001 TOP,3,1,,
96007112,20243116,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG26,LCS001 TOP,3,1,,
96007113,20243117,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG27,LCS001 TOP,3,1,,
96007116,20243120,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG30,LCS001 TOP,3,1,,
96007111,20243115,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG25,LCS001 TOP,3,1,,
96007110,20243114,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG24,LCS001 TOP,3,1,,
96007114,20243118,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG28,LCS001 TOP,3,1,,
96007117,20243121,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG31,LCS001 TOP,3,1,,
96007109,20243113,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG23,LCS001 TOP,3,1,,
96007272,20243276,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01712000-001-DJIG01,LCS001 TOP,3,1,,
96007118,20243122,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG32,LCS001 TOP,3,1,,
96007108,20243112,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG22,LCS001 TOP,3,1,,
96007105,20243109,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG19,LCS001 TOP,3,1,,
96007107,20243111,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG21,LCS001 TOP,3,1,,
96007106,20243110,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG20,LCS001 TOP,3,1,,
96007104,20243108,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG18,LCS001 TOP,3,1,,
96007099,20243103,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG13,LCS001 TOP,3,1,,
96007103,20243107,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG17,LCS001 TOP,3,1,,
96007101,20243105,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG15,LCS001 TOP,3,1,,
96007102,20243106,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG16,LCS001 TOP,3,1,,
96007100,20243104,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG14,LCS001 TOP,3,1,,
96007088,20243092,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG02,LCS001 TOP,3,1,,
