SAP,BFM,DESCRIPTION,TOOL ID,LOCATION,PRIORITY,PM QTY,REVIEWED,Time of Completion
96007501,20245479,WING LIFTER ELECTRO-IMPACT,C01601001-HFIX04 PM1,LCS001,1,4,YES,9/18/2024
96007556,20245819,SHIM TOOLING FIXTURE,C00601010-MFIX01,CNC#1,1,4,YES,9/18/2024
96007556,20245976,SHIM TOOLING FIXTURE,C00601010-MFIX01,CNC#1,1,4,YES,9/18/2024
96010661,20312926,MLG ROBOT,C01619001-HFIX05,LCS002,1,3,YES,9/25/2024
96010661,20312927,MLG ROBOT,C01619001-HFIX05,LCS002,1,3,YES,9/25/2024
96007623,20245554,MGV ENGINE LOADER,C01700001-SFIX01 PM1,LCS030/040,1,3,YES,9/18/2024
96007623,20319224,MGV ENGINE LOADER,C01700001-SFIX01 PM1,LCS030/040,1,3,YES,9/18/2024
96011341,20328089,LCS002 WING POSITIONER,C00100018-AJFA02,LCS002,1,3,YES,9/18/2024
96011343,20328092,LCS001 FUSELAGE JUNCTION POSITIONERS,C00100018-AJFA01,LCS001,1,3,YES,9/11/2024
